periode_data,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
201703,"Jakarta Barat",CENGKARENG,"DURI KOSAMBI","RW 04, 05, 06",3,0,0,0,"0 - 50 cm","23 - 24",0,0,0,0,0,0,0,0
201703,"Jakarta Barat",CENGKARENG,"RAWA BUAYA","RW 01, 02, 04",3,0,0,0,"30 - 50 cm","23 - 24",0,0,0,0,0,0,0,0
201703,"Jakarta Barat","KALI DERES",SEMANAN,"RW 06",1,0,0,0,"10 - 20 cm",28,0,0,0,0,0,0,0,0
201703,"Jakarta Barat","KEBON JERUK","KEBON JERUK","RW 01",1,0,0,0,"20 - 120 cm",3,0,0,0,0,0,0,0,0
201703,"Jakarta Barat",KEMBANGAN,"KEMBANGAN UTARA","RW 01",1,0,0,0,"5 - 10 cm",4,0,0,0,0,0,0,0,0
201703,"Jakarta Pusat",KEMAYORAN,"KEBON KOSONG","RW 05",1,0,0,0,"5 - 10 cm",28,0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",CILANDAK,"CILANDAK BARAT","RW 02",1,0,0,0,"100 cm","1 - 3",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",CILANDAK,"PONDOK LABU","RW 01, 03, 07, 09, 010",5,0,0,0,"140 - 160 cm","1 - 8",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","KEBAYORAN BARU","CIPETE UTARA","RW 06, 07, 09, 010",4,0,0,0,"60 - 80 cm","2 - 3",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","KEBAYORAN BARU",PETOGOGAN,"RW 02, 03",2,0,0,0,"20 - 40 cm","1 - 4",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","KEBAYORAN LAMA",CIPULIR,"RW 010",1,0,0,0,"10 - 100 cm",3,0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","KEBAYORAN LAMA","PONDOK PINANG","RW 05",1,0,0,0,"30 - 80 cm","2 - 3, 8",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","MAMPANG PRAPATAN",BANGKA,"RW 02, 03, 04",3,0,0,0,"70 - 100 cm","1 - 4",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",PANCORAN,KALIBATA,"RW 05",1,0,0,0,"50 - 100 cm","1 - 4",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",PANCORAN,PENGADEGAN,"RW 01",1,0,0,0,"50 - 100 cm","1 - 2, 8",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",PANCORAN,RAWAJATI,"RW 07",1,0,0,0,"50 cm","1 - 2",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","PASAR MINGGU","CILANDAK TIMUR","RW 01, 03, 04",3,0,0,65,"100 - 120 cm","1 - 4",0,0,0,0,65,2,0,0
201703,"Jakarta Selatan","PASAR MINGGU","JATI PADANG","RW 02, 03, 04, 05, 06, 08, 010",7,0,0,0,"60 - 100 cm","1 - 2",0,0,0,0,1735,6,0,0
201703,"Jakarta Selatan","PASAR MINGGU",KEBAGUSAN,"RW 02, 03, 04, 05, 06, 07",6,0,32,120,"80 cm","1 - 2",0,0,0,0,15,3,0,0
201703,"Jakarta Selatan","PASAR MINGGU","PEJATEN BARAT","RW 02",1,0,0,0,"60 cm","1 - 2",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan","PASAR MINGGU","PEJATEN TIMUR","RW 05, 06, 07, 08, 010",5,0,105,232,"40 cm","1 - 2, 8",0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",PESANGGRAHAN,ULUJAMI,"RW 01, 05",2,0,1027,3266,"75 cm","1 - 3, 17 - 18",0,0,0,0,55,1,0,0
201703,"Jakarta Selatan",TEBET,"BUKIT DURI","RW 010, 011, 012",3,0,0,0,"30 - 40 cm",8,0,0,0,0,0,0,0,0
201703,"Jakarta Selatan",TEBET,"KEBON BARU","RW 012",1,0,0,0,"5 - 10 cm",28,0,0,0,0,0,0,0,0
201703,"Jakarta Timur",CAKUNG,"CAKUNG TIMUR","RW 09",1,0,0,0,"50 - 70 cm","18 - 19",0,0,0,0,0,0,0,0
201703,"Jakarta Timur",CAKUNG,"RAWA TERATE","RW 04, 05",2,0,0,0,"0 - 50 cm",23,0,0,0,0,0,0,0,0
201703,"Jakarta Timur",CIRACAS,CIBUBUR,"RW 02, 03, 010, 012",4,0,0,0,"20 - 80 cm","1 - 2",0,0,0,0,0,0,0,0
201703,"Jakarta Timur",CIRACAS,RAMBUTAN,"RW 06",1,0,0,0,"40 cm",1,0,0,0,0,0,0,0,0
201703,"Jakarta Timur","DUREN SAWIT","DUREN SAWIT","RW 04, 05, 010",3,0,0,0,"20 - 30 cm",18,0,0,0,0,0,0,0,0
201703,"Jakarta Timur",JATINEGARA,"BIDARA CINA","RW 06, 07, 011",3,0,647,1823,"75 - 120 cm","8 - 9",0,0,0,0,0,0,0,0
201703,"Jakarta Timur",JATINEGARA,"CIPINANG BESAR SELATAN","RW 010",1,0,0,0,"30 cm",18,0,0,0,0,0,0,0,0
201703,"Jakarta Timur",JATINEGARA,"CIPINANG MUARA","RW 03, 04, 013",3,0,0,0,"50 cm","2 - 3, 28",0,0,0,0,0,0,0,0
201703,"Jakarta Timur",JATINEGARA,"KAMPUNG MELAYU","RW 04, 05, 07, 08",4,0,243,828,"20 - 90 cm","1 - 2, 8 - 9, 18",0,0,0,0,0,0,0,0
201703,"Jakarta Timur","KRAMAT JATI",CAWANG,"RW 01, 02, 03, 05, 08",5,0,1178,3832,"30 - 100 cm","7 - 8",0,0,0,0,0,0,0,0
