periode_data,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
201901,"Jakarta Barat","KEC. CENGKARENG","KEL. CENGKARENG TIMUR",3,1,11,0,0,"10 s/d 70 cm","tgl. 25, 31",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. CENGKARENG","KEL. RAWA BUAYA","01, 02, 04, 11",4,18,0,0,"10 s/d 60 cm","tgl. 25, 30",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. CENGKARENG","KEL. DURI KOSAMBI","04, 06",2,7,0,0,"30 s/d 40 cm","tgl. 30",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. CENGKARENG","KEL. KEDAUNG KALI ANGKE",5,1,3,0,0,"15 s/d 20 cm","tgl. 30",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. GROGOL PETAMBURAN","KEL. WIJAYA KUSUMA",5,1,1,0,0,"10 s/d 20 cm","tgl. 25",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. GROGOL PETAMBURAN","KEL. JELAMBAR BARU","01, 05, 07, 09, 12",5,8,0,0,"10 s/d 30 cm","tgl. 25, 30",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. KEMBANGAN","KEL. KEMBANGAN UTARA","03, 05, 10",3,7,0,0,"15 s/d 20 cm","tgl. 25",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. PALMERAH","KEL. JATI PULO",6,1,1,0,0,"40 cm","tgl. 12",0,0,0,0,0,0,0,0
201901,"Jakarta Barat","KEC. PALMERAH","KEL. KOTA BAMBU UTARA",1,1,1,0,0,"20 cm","tgl. 12",0,0,0,0,0,0,0,0
201901,"Jakarta Selatan","KEC. PASAR MINGGU","KEL. JATIPADANG",6,1,3,65,240,"30 s/d 60 cm","tgl. 13, 22",0,0,0,0,0,0,0,0
201901,"Jakarta Timur","KEC. JATINEGARA","KEL. KAMPUNG MELAYU","04, 05",2,4,70,213,"10 s/d 30 cm","tgl. 8, 21",0,0,0,0,0,0,0,0
201901,"Jakarta Timur","KEC. CAKUNG","KEL. RAWA TERATE","04, 05",2,2,0,0,"15 s/d 30 cm","tgl. 30",0,0,0,0,0,0,0,0
201902,"Jakarta Utara","KEC. PENJARINGAN","KEL. KAMAL MUARA","01, 04",2,2,0,0,"5 cm","tgl. 01, 02",0,0,0,0,0,0,0,0
201902,"Jakarta Barat","KEC. KEMBANGAN","KEL. KEMBANGAN UTARA",1,1,1,0,0,"50 s/d 60 cm","tgl. 01, 02",0,0,0,0,0,0,0,0
201902,"Jakarta Barat","KEC. KALIDERES","KEL. KAMAL",1,1,3,0,0,"5 cm","tgl. 01, 03",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. GROGOL SELATAN",6,1,1,0,0,"10 s/d 50 cm","tgl. 11, 12",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. CIPULIR","8,1",2,3,0,0,"40 cm","tgl. 16,17",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC, PASAR MINGGU","KEL. PEJATEN TIMUR","05, 06, 07, 08",4,5,86,171,"40 s/d 80 cm","tgl 16,26",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC, PASAR MINGGU","KEL. CILANDAK TIMUR",3,1,2,0,0,"60 cm","tgl. 19,20",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. PANCORAN","KEL. PENGEDEGAN",1,1,1,4,12,"80 cm","tgl 16,26",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. PANCORAN","KEL. RAWAJATI","07, 04",2,6,0,0,"20 s/d 70 cm","tgl 16,26",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. PANCORAN","KEL. DUREN TIGA",5,1,4,0,0,"40 s/d 70 cm","tgl. 16,17",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. PANCORAN","KEL. KALIBATA",9,1,1,0,0,"30 s/d 40 cm","tgl. 16,17",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. TEBET","KEL. KEBON BARU",10,1,1,0,0,"5 s/d 10 cm","tgl 16",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. TEBET","KEL. MANGGARAI",1,1,2,0,0,"15 cm","tgl. 26",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. KEBAYORAN BARU","KEL PETOGOGAN","2,03",2,27,0,0,"30 s/d 50 cm","tgl. 16,17,19,20",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. MAMPANG","KEL. KUNINGAN BARAT",3,1,6,0,0,"20 s/d 40 cm","tgl. 16,17",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. JAGAKARSA","KEL. CIPEDAK",4,1,2,0,0,"50 s/d 70 cm","tgl. 19",0,0,0,0,0,0,0,0
201902,"Jakarta Selatan","KEC. CILANDAK","KEL. CILANDAK BARAT",2,1,1,0,0,"40 s/d 50 cm","tgl. 19,20",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC. MAKASAR","KEL. CIPINANG MELAYU","03, 04",2,13,0,0,"40 s/d 60 cm","tgl. 11, 12",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC. PASAR REBO","KEL. PEKAYON","04, 07",2,5,0,0,"20 s/d 60 cm","tgl. 11, 12",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC. JATINEGARA","KEL. CIPINANG MUARA",13,1,3,0,0,"20 s/d 40 cm","tgl. 11, 12",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC. JATINEGARA","KEL. KAMPUNG MELAYU","04, 05, 07, 08",4,26,308,1003,"10 s/d 100 cm","tgl. 16,26",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC. JATINEGARA","KEL. BIDARA CINA","07, 11",2,12,0,0,"40 s/d 135","tgl. 16,17",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC.KRAMAT JATI","KEL BALEKAMBANG",5,1,3,0,0,"15 s/d 120 cm","tgl 16",0,0,0,0,0,0,0,0
